,client_id,monetary,recency,frequency,age,education,gender
108,18128_id,62,1003,2335,19.0,bachelor,female
109,7345_id,21,259,86,19.0,bachelor,female
110,15507_id,29,627,360,18.0,bachelor,male
111,5050_id,17,171,58,18.0,bachelor,female
112,14452_id,29,533,420,18.0,bachelor,female
113,3298_id,18,206,59,20.0,bachelor,female
114,388_id,14,71,16,20.0,bachelor,male
115,17706_id,40,1064,1715,18.0,bachelor,female
116,5886_id,17,321,82,20.0,bachelor,male
117,15574_id,30,676,325,19.0,bachelor,female
118,7971_id,19,330,139,19.0,bachelor,male
119,10749_id,20,477,162,20.0,bachelor,female
120,19795_id,92,2777,8474,18.0,bachelor,female
121,1202_id,12,102,16,18.0,bachelor,male
122,12878_id,23,534,243,19.0,bachelor,female
123,15906_id,34,695,332,21.0,bachelor,female
124,12061_id,25,389,300,21.0,bachelor,male
125,16033_id,30,651,495,21.0,bachelor,female
126,6038_id,16,250,130,18.0,bachelor,male
127,17063_id,36,622,632,21.0,bachelor,male
128,4491_id,15,225,43,19.0,bachelor,female
129,13840_id,25,572,268,19.0,bachelor,male
130,7586_id,21,301,70,19.0,bachelor,female
131,1328_id,12,160,15,18.0,bachelor,male
132,7136_id,16,295,71,18.0,bachelor,male
133,9390_id,19,423,222,20.0,bachelor,female
134,6604_id,18,274,120,19.0,bachelor,male
135,17654_id,42,836,1143,21.0,bachelor,female
136,9827_id,20,363,160,19.0,bachelor,female
137,12606_id,22,480,286,18.0,bachelor,male
138,14556_id,34,537,459,20.0,bachelor,male
139,14920_id,30,540,367,21.0,bachelor,male
140,27_id,12,68,19,21.0,bachelor,female
141,13859_id,22,499,252,20.0,bachelor,male
142,15577_id,32,647,360,18.0,bachelor,male
143,1286_id,12,149,18,19.0,bachelor,male
144,10300_id,20,399,190,20.0,bachelor,male
145,16341_id,35,683,884,20.0,bachelor,female
146,11865_id,22,465,248,19.0,bachelor,female
147,9919_id,19,393,156,20.0,bachelor,male
148,14535_id,27,574,469,21.0,bachelor,female
149,798_id,13,43,14,20.0,bachelor,male
150,19081_id,71,1093,4343,21.0,bachelor,male
151,758_id,14,58,18,18.0,bachelor,male
152,6955_id,18,307,137,21.0,bachelor,male
153,11986_id,26,393,308,21.0,bachelor,female
154,14093_id,23,589,311,18.0,bachelor,female
155,17584_id,40,976,1340,21.0,bachelor,male
156,11945_id,23,449,278,21.0,bachelor,female
157,14883_id,30,493,358,20.0,bachelor,male
158,13532_id,24,517,247,20.0,bachelor,female
159,7355_id,19,292,90,18.0,bachelor,male
160,7997_id,20,246,142,19.0,bachelor,male
161,6894_id,16,319,132,21.0,bachelor,male
162,12076_id,26,398,309,21.0,bachelor,male
163,9632_id,19,453,196,19.0,bachelor,male
164,6278_id,16,296,103,18.0,bachelor,male
165,4252_id,18,172,48,20.0,bachelor,female
166,13625_id,23,567,301,20.0,bachelor,female
167,8104_id,21,333,110,20.0,bachelor,female
168,4695_id,17,205,43,19.0,bachelor,male
169,12573_id,26,534,268,21.0,bachelor,male
170,13770_id,26,517,318,20.0,bachelor,male
171,5070_id,18,182,54,19.0,bachelor,male
172,7406_id,20,295,142,20.0,bachelor,female
173,17910_id,46,930,2282,21.0,bachelor,female
174,2904_id,13,158,31,19.0,bachelor,female
175,7945_id,19,258,78,20.0,bachelor,male
176,13613_id,23,587,250,18.0,bachelor,male
177,18949_id,59,1306,3642,18.0,bachelor,female
178,12189_id,25,442,291,21.0,bachelor,male
179,9049_id,19,389,177,20.0,bachelor,female
180,18722_id,61,1208,3769,21.0,bachelor,female
181,7387_id,20,259,138,21.0,bachelor,female
182,911_id,14,78,19,19.0,bachelor,male
183,17580_id,45,1063,2099,21.0,bachelor,female
184,12092_id,24,339,271,19.0,bachelor,female
185,137_id,14,29,17,19.0,bachelor,male
186,19191_id,78,1310,5764,20.0,bachelor,male
187,8228_id,21,335,74,18.0,bachelor,female
188,12275_id,24,400,299,19.0,bachelor,female
189,7162_id,18,311,122,21.0,bachelor,male
190,3764_id,16,170,43,21.0,bachelor,female
191,4248_id,17,234,42,18.0,bachelor,female
192,10086_id,21,454,233,21.0,bachelor,female
193,15802_id,27,684,356,20.0,bachelor,female
194,3004_id,12,110,26,21.0,bachelor,female
195,9610_id,20,407,178,20.0,bachelor,female
196,5213_id,18,236,63,19.0,bachelor,male
197,4554_id,17,212,69,18.0,bachelor,male
198,14527_id,33,524,464,18.0,bachelor,male
199,7580_id,19,313,98,19.0,bachelor,female
200,18782_id,56,1257,5074,21.0,bachelor,male
201,10666_id,20,357,202,20.0,bachelor,male
202,9143_id,20,385,203,19.0,bachelor,female
203,8135_id,19,251,99,21.0,bachelor,male
204,11382_id,21,402,204,20.0,bachelor,female
205,17297_id,47,672,810,21.0,bachelor,male
206,8757_id,19,256,176,21.0,bachelor,male
207,15368_id,32,653,485,20.0,bachelor,female
208,12319_id,24,438,250,20.0,bachelor,female
209,17550_id,44,621,1893,21.0,bachelor,female
210,18370_id,52,864,1995,21.0,bachelor,male
211,8082_id,19,322,138,18.0,bachelor,female
212,17862_id,46,802,1272,20.0,bachelor,female
213,5246_id,15,231,58,21.0,bachelor,male
214,2782_id,12,150,28,19.0,bachelor,female
215,9615_id,19,367,185,20.0,bachelor,female
216,8753_id,19,279,217,19.0,bachelor,male
217,4758_id,18,237,42,18.0,bachelor,female
218,18541_id,58,925,3743,21.0,bachelor,male
219,2079_id,14,99,29,21.0,bachelor,male
220,4967_id,15,217,55,21.0,bachelor,female
221,19172_id,75,1317,6956,20.0,bachelor,male
222,19222_id,67,1397,7145,19.0,bachelor,male
223,9526_id,21,424,162,21.0,bachelor,male
224,13376_id,24,555,273,21.0,bachelor,male
225,6159_id,17,260,85,21.0,bachelor,male
226,18048_id,60,931,1178,19.0,bachelor,female
227,5874_id,17,243,114,18.0,bachelor,male
228,10105_id,21,439,186,19.0,bachelor,male
229,14268_id,34,493,497,21.0,bachelor,female
230,18082_id,57,896,2292,19.0,bachelor,male
231,4257_id,17,207,45,18.0,bachelor,male
232,10077_id,19,424,183,18.0,bachelor,male
233,18627_id,62,1112,4842,21.0,bachelor,female
234,15414_id,30,650,392,21.0,bachelor,female
235,15707_id,34,605,391,21.0,bachelor,female
236,1983_id,14,123,32,20.0,bachelor,male
237,16741_id,35,693,974,20.0,bachelor,male
238,17460_id,45,707,969,21.0,bachelor,female
239,8122_id,21,270,135,21.0,bachelor,male
240,17649_id,39,868,2043,18.0,bachelor,male
241,14329_id,33,578,376,20.0,bachelor,male
242,11070_id,19,460,164,20.0,bachelor,male
243,9442_id,21,458,206,18.0,bachelor,female
244,1230_id,12,160,17,18.0,bachelor,male
245,7520_id,19,294,85,19.0,bachelor,female
246,15422_id,27,707,395,19.0,bachelor,male
247,10539_id,21,418,197,18.0,bachelor,male
248,13252_id,26,576,248,19.0,bachelor,male
249,4782_id,18,186,46,18.0,bachelor,female
250,8646_id,19,308,236,18.0,bachelor,female
251,12293_id,22,474,317,20.0,bachelor,male
252,2578_id,12,123,28,18.0,bachelor,female
253,9927_id,20,399,232,20.0,bachelor,female
254,17243_id,46,675,977,20.0,bachelor,female
255,5691_id,15,222,90,20.0,bachelor,female
256,3735_id,15,217,53,20.0,bachelor,male
257,13956_id,26,550,311,19.0,bachelor,female
258,160_id,13,58,18,20.0,bachelor,male
259,2745_id,13,143,22,21.0,bachelor,female
260,17434_id,38,715,928,21.0,bachelor,male
261,15378_id,27,601,419,20.0,bachelor,female
262,16526_id,42,714,966,18.0,bachelor,female
263,9433_id,19,394,224,20.0,bachelor,female
264,10337_id,21,394,163,19.0,bachelor,female
265,17744_id,49,981,1556,21.0,bachelor,female
266,5253_id,15,224,61,18.0,bachelor,male
267,11228_id,20,377,219,18.0,bachelor,male
268,17558_id,39,855,2334,18.0,bachelor,male
269,13270_id,23,523,307,19.0,bachelor,female
270,15709_id,30,615,346,18.0,bachelor,male
271,13968_id,25,554,302,19.0,bachelor,female
272,17630_id,44,837,2155,20.0,bachelor,male
273,6429_id,16,280,95,21.0,bachelor,female
274,5451_id,16,198,52,20.0,bachelor,female
275,1840_id,12,145,31,19.0,bachelor,female
276,17756_id,43,1051,2284,18.0,bachelor,male
277,3130_id,12,161,29,18.0,bachelor,male
278,12568_id,23,540,250,20.0,bachelor,female
279,2871_id,13,137,35,21.0,bachelor,male
280,2197_id,14,141,28,19.0,bachelor,female
281,13429_id,22,534,277,19.0,bachelor,male
282,1954_id,14,136,28,21.0,bachelor,male
283,8699_id,21,249,188,19.0,bachelor,male
284,10128_id,21,392,152,18.0,bachelor,male
285,1376_id,13,128,17,19.0,bachelor,male
286,14770_id,29,559,394,18.0,bachelor,male
287,1533_id,12,122,30,20.0,bachelor,male
288,12332_id,23,414,241,21.0,bachelor,male
289,5985_id,16,305,106,21.0,bachelor,male
290,1615_id,13,158,28,19.0,bachelor,male
291,14361_id,31,543,464,20.0,bachelor,female
292,16089_id,34,609,324,20.0,bachelor,female
293,11594_id,20,366,267,19.0,bachelor,male
294,16119_id,28,682,467,21.0,bachelor,male
295,664_id,13,36,14,19.0,bachelor,male
296,4627_id,17,210,42,21.0,bachelor,male
297,717_id,13,54,16,18.0,bachelor,female
298,12085_id,22,341,317,21.0,bachelor,female
299,5794_id,18,274,110,20.0,bachelor,female
300,6883_id,17,251,116,20.0,bachelor,female
301,16691_id,42,640,689,18.0,bachelor,female
302,2665_id,12,109,27,20.0,bachelor,female
303,1930_id,12,150,34,20.0,bachelor,female
304,426_id,14,35,16,18.0,bachelor,female
305,1372_id,14,124,17,21.0,bachelor,female
306,9908_id,19,403,230,18.0,bachelor,male
307,14011_id,24,582,264,18.0,bachelor,male
308,16719_id,44,630,816,19.0,bachelor,female
309,6069_id,16,322,148,19.0,bachelor,male
310,14711_id,33,561,406,18.0,bachelor,male
311,3582_id,17,197,54,18.0,bachelor,female
312,16134_id,33,706,473,20.0,bachelor,male
313,10838_id,20,464,191,18.0,bachelor,male
314,222_id,14,49,14,20.0,bachelor,male
315,11456_id,21,437,220,18.0,bachelor,female
316,13973_id,24,521,273,18.0,bachelor,female
317,6678_id,17,293,119,21.0,bachelor,female
318,16637_id,35,698,685,18.0,bachelor,female
319,19915_id,87,5656,7903,18.0,bachelor,female
320,8905_id,21,266,167,18.0,bachelor,male
321,3264_id,16,233,44,18.0,bachelor,male
322,18157_id,53,850,1905,20.0,bachelor,male
323,13441_id,26,515,253,21.0,bachelor,male
324,8797_id,21,307,237,20.0,bachelor,male
325,13518_id,22,537,304,20.0,bachelor,female
326,16708_id,46,663,541,21.0,bachelor,male
327,3872_id,16,174,43,18.0,bachelor,female
328,9047_id,19,470,207,21.0,bachelor,male
329,7898_id,20,320,72,20.0,bachelor,male
330,471_id,13,47,16,19.0,bachelor,female
331,4454_id,17,171,51,18.0,bachelor,male
332,7437_id,20,297,105,20.0,bachelor,male
333,16491_id,40,692,526,19.0,bachelor,female
334,409_id,14,43,17,20.0,bachelor,male
335,2397_id,13,140,29,20.0,bachelor,female
336,3097_id,12,113,37,18.0,bachelor,male
337,14859_id,29,496,354,20.0,bachelor,female
338,9455_id,19,465,194,18.0,bachelor,female
339,11169_id,21,394,151,20.0,bachelor,female
340,1939_id,13,110,28,18.0,bachelor,female
341,2843_id,12,97,25,19.0,bachelor,male
342,5271_id,16,216,54,18.0,bachelor,male
343,16834_id,39,683,968,20.0,bachelor,male
344,13846_id,24,495,280,19.0,bachelor,male
345,2415_id,13,105,35,20.0,bachelor,male
346,7193_id,15,320,71,18.0,bachelor,female
347,18257_id,52,848,1676,20.0,bachelor,female
348,9402_id,20,404,237,18.0,bachelor,female
349,5190_id,15,172,60,18.0,bachelor,female
350,15397_id,29,688,347,20.0,bachelor,female
351,13758_id,26,511,312,18.0,bachelor,female
352,14790_id,27,553,481,21.0,bachelor,female
353,6201_id,16,316,139,19.0,bachelor,male
354,13027_id,25,541,318,20.0,bachelor,female
355,17788_id,41,971,1411,21.0,bachelor,male
356,10543_id,20,392,161,18.0,bachelor,male
357,2405_id,12,123,21,21.0,bachelor,male
358,7172_id,16,324,103,18.0,bachelor,male
359,13849_id,26,503,262,21.0,bachelor,female
360,4038_id,18,227,68,19.0,bachelor,male
361,16717_id,45,717,994,20.0,bachelor,female
362,6628_id,16,335,89,19.0,bachelor,female
363,1258_id,14,129,18,18.0,bachelor,female
364,16137_id,27,655,365,21.0,bachelor,male
365,2328_id,13,109,29,21.0,bachelor,female
366,8241_id,21,240,73,21.0,bachelor,female
367,4271_id,16,182,62,20.0,bachelor,female
368,3558_id,17,221,67,20.0,bachelor,male
369,15061_id,31,563,424,20.0,bachelor,female
370,17315_id,43,706,944,18.0,bachelor,female
371,4653_id,16,194,57,19.0,bachelor,female
372,6915_id,17,291,85,19.0,bachelor,male
373,19688_id,85,2822,8854,18.0,bachelor,male
374,18227_id,58,1045,1248,19.0,bachelor,female
375,16715_id,39,662,988,21.0,bachelor,female
376,16973_id,36,629,908,21.0,bachelor,male
377,18133_id,58,796,1214,21.0,bachelor,male
378,17440_id,48,684,927,20.0,bachelor,female
379,6105_id,16,287,133,21.0,bachelor,female
380,931_id,13,28,19,20.0,bachelor,female
381,11597_id,20,413,287,21.0,bachelor,male
382,10112_id,20,407,216,21.0,bachelor,male
383,394_id,14,55,19,20.0,bachelor,male
384,5758_id,15,176,140,18.0,bachelor,female
385,1422_id,14,114,37,18.0,bachelor,male
386,16619_id,41,609,723,18.0,bachelor,male
387,2847_id,14,147,33,21.0,bachelor,female
388,14625_id,28,587,347,18.0,bachelor,female
389,3012_id,14,144,24,18.0,bachelor,male
390,2087_id,12,118,36,21.0,bachelor,female
391,2882_id,14,116,37,19.0,bachelor,female
392,8939_id,21,254,224,21.0,bachelor,male
393,3116_id,14,122,25,20.0,bachelor,male
394,15099_id,34,505,401,21.0,bachelor,male
395,1757_id,13,164,23,19.0,bachelor,male
396,12166_id,25,368,285,19.0,bachelor,female
397,4579_id,16,196,54,20.0,bachelor,female
398,16190_id,30,622,751,18.0,bachelor,male
399,3398_id,15,212,52,19.0,bachelor,female
400,6553_id,18,266,93,21.0,bachelor,female
401,10347_id,21,392,156,18.0,bachelor,female
402,13256_id,22,519,293,21.0,bachelor,male
403,6098_id,16,327,86,20.0,bachelor,male
404,5039_id,18,199,51,20.0,bachelor,female
405,11178_id,21,427,195,20.0,bachelor,female
406,14305_id,27,522,459,21.0,bachelor,male
407,3306_id,16,205,40,18.0,bachelor,male
408,11006_id,19,412,207,21.0,bachelor,male
409,7800_id,21,283,121,21.0,bachelor,female
410,17146_id,35,644,833,19.0,bachelor,female
411,12261_id,23,430,289,18.0,bachelor,male
412,10380_id,19,404,195,19.0,bachelor,female
413,18312_id,50,996,2067,21.0,bachelor,female
414,1281_id,12,159,16,20.0,bachelor,female
415,18883_id,56,1126,3601,21.0,bachelor,female
416,7843_id,20,334,139,21.0,bachelor,female
417,219_id,12,71,17,19.0,bachelor,male
418,4537_id,18,191,66,18.0,bachelor,male
419,7667_id,19,248,82,21.0,bachelor,female
420,4142_id,16,217,52,21.0,bachelor,male
421,18285_id,58,965,2388,20.0,bachelor,female
422,5566_id,17,212,67,19.0,bachelor,male
423,3027_id,13,117,26,20.0,bachelor,male
424,3899_id,18,238,67,19.0,bachelor,male
425,8997_id,20,337,213,19.0,bachelor,female
426,13895_id,22,578,261,18.0,bachelor,male
427,14851_id,34,541,472,18.0,bachelor,female
428,3983_id,17,177,52,20.0,bachelor,female
429,17968_id,38,753,1866,21.0,bachelor,male
430,10888_id,21,460,193,18.0,bachelor,male
431,6803_id,16,289,86,21.0,bachelor,male
432,18629_id,57,1229,3958,19.0,bachelor,male
433,15555_id,34,694,376,18.0,bachelor,male
434,6043_id,16,288,123,20.0,bachelor,female
435,1676_id,13,138,21,20.0,bachelor,male
436,10315_id,21,348,224,19.0,bachelor,female
437,13185_id,23,595,296,20.0,bachelor,female
438,1469_id,12,100,39,19.0,bachelor,male
439,9188_id,21,344,158,18.0,bachelor,female
440,9769_id,20,477,155,19.0,bachelor,male
441,7790_id,20,335,134,21.0,bachelor,female
442,8250_id,21,261,102,20.0,bachelor,female
443,17213_id,41,667,958,20.0,bachelor,male
444,16836_id,46,668,901,21.0,bachelor,male
445,981_id,14,22,14,18.0,bachelor,male
446,1642_id,12,149,23,21.0,bachelor,male
447,8453_id,21,334,195,18.0,bachelor,female
448,4103_id,15,192,40,18.0,bachelor,female
449,11002_id,19,362,235,20.0,bachelor,male
450,6242_id,17,258,71,20.0,bachelor,female
451,15672_id,34,668,448,18.0,bachelor,male
452,13777_id,24,551,313,18.0,bachelor,female
453,6332_id,16,321,71,21.0,bachelor,male
454,18593_id,63,1102,4816,18.0,bachelor,female
455,1243_id,13,123,16,19.0,bachelor,male
456,688_id,13,37,14,20.0,bachelor,female
457,7806_id,20,265,78,21.0,bachelor,female
458,2906_id,14,126,20,21.0,bachelor,male
459,8934_id,21,257,207,18.0,bachelor,male
460,15164_id,28,615,465,18.0,bachelor,male
461,9737_id,19,364,150,20.0,bachelor,male
462,8908_id,20,285,183,19.0,bachelor,female
463,18530_id,50,1074,1776,21.0,bachelor,male
464,8387_id,21,259,133,21.0,bachelor,male
465,2470_id,13,125,35,18.0,bachelor,female
466,15039_id,29,564,494,20.0,bachelor,female
467,9071_id,20,407,218,18.0,bachelor,male
468,16442_id,46,629,678,21.0,bachelor,male
469,359_id,14,20,15,20.0,bachelor,female
470,19635_id,92,2039,6232,19.0,bachelor,male
471,10912_id,19,472,195,19.0,bachelor,male
472,9869_id,20,353,187,19.0,bachelor,male
473,1104_id,14,34,15,18.0,bachelor,male
474,6371_id,17,241,120,20.0,bachelor,male
475,2775_id,13,109,39,18.0,bachelor,male
476,8481_id,19,305,210,19.0,bachelor,male
477,14412_id,28,594,491,21.0,bachelor,female
478,5311_id,18,204,46,20.0,bachelor,female
479,13153_id,26,594,310,21.0,bachelor,male
480,12240_id,24,383,271,18.0,bachelor,female
481,15251_id,34,606,465,18.0,bachelor,female
482,3205_id,16,191,40,19.0,bachelor,male
483,17660_id,47,883,2355,20.0,bachelor,male
484,6965_id,17,286,134,18.0,bachelor,male
485,4176_id,17,188,67,21.0,bachelor,female
486,4295_id,15,239,65,20.0,bachelor,female
487,5166_id,17,224,51,20.0,bachelor,female
488,11199_id,19,461,220,21.0,bachelor,female
489,19529_id,65,1873,5310,21.0,bachelor,female
490,10635_id,19,391,150,18.0,bachelor,female
491,17918_id,42,1014,2295,21.0,bachelor,male
492,10796_id,21,436,215,21.0,bachelor,female
493,15243_id,30,667,321,20.0,bachelor,female
494,16938_id,43,623,638,20.0,bachelor,female
495,274_id,12,86,18,20.0,bachelor,male
496,8159_id,20,315,121,18.0,bachelor,female
497,17378_id,41,691,541,20.0,bachelor,female
498,14835_id,32,520,485,20.0,bachelor,male
499,1719_id,13,146,36,21.0,bachelor,female
500,815_id,13,42,17,19.0,bachelor,male
501,1295_id,12,138,18,18.0,bachelor,male
502,11514_id,20,402,162,19.0,bachelor,male
503,11248_id,21,397,187,18.0,bachelor,male
504,19801_id,88,3216,9100,20.0,bachelor,female
505,17667_id,39,777,1884,21.0,bachelor,male
506,11493_id,19,445,163,20.0,bachelor,male
507,19909_id,90,2163,7923,19.0,bachelor,female
508,9654_id,20,343,199,18.0,bachelor,female
509,19309_id,67,2022,6764,18.0,bachelor,male
510,2476_id,14,123,27,21.0,bachelor,male
511,8327_id,20,245,124,21.0,bachelor,female
512,3215_id,18,234,53,18.0,bachelor,female
513,17991_id,47,949,1209,20.0,bachelor,female
514,10168_id,19,437,216,18.0,bachelor,male
515,4244_id,18,168,51,19.0,bachelor,male
516,12040_id,24,352,293,20.0,bachelor,female
517,535_id,12,63,19,19.0,bachelor,female
518,1176_id,13,35,19,19.0,bachelor,female
519,18118_id,58,890,1111,18.0,bachelor,male
520,8849_id,21,268,216,19.0,bachelor,female
521,8676_id,19,271,190,21.0,bachelor,male
522,13128_id,24,521,274,21.0,bachelor,male
523,1545_id,14,111,29,18.0,bachelor,female
524,10034_id,19,346,201,19.0,bachelor,female
525,6443_id,15,296,107,21.0,bachelor,female
526,9297_id,21,415,185,21.0,bachelor,female
527,2175_id,14,131,34,21.0,bachelor,male
528,19628_id,86,1636,7084,21.0,bachelor,male
529,12313_id,22,385,245,20.0,bachelor,female
530,19072_id,72,1134,3101,19.0,bachelor,female
531,13852_id,22,568,303,21.0,bachelor,male
532,14530_id,29,525,432,18.0,bachelor,female
533,11695_id,26,376,292,20.0,bachelor,female
534,5389_id,15,198,52,19.0,bachelor,female
535,9729_id,19,468,218,21.0,bachelor,male
536,13847_id,23,596,296,20.0,bachelor,female
537,8489_id,20,318,199,20.0,bachelor,female
538,16408_id,48,660,715,19.0,bachelor,male
539,13522_id,24,562,314,21.0,bachelor,male
540,18646_id,56,1399,3987,21.0,bachelor,female
541,2713_id,14,134,20,18.0,bachelor,male
542,4976_id,18,218,60,18.0,bachelor,female
543,5891_id,15,297,86,18.0,bachelor,male
544,12862_id,26,513,271,21.0,bachelor,male
545,9419_id,20,473,180,20.0,bachelor,male
546,1171_id,12,15,14,20.0,bachelor,female
547,12756_id,25,493,279,19.0,bachelor,male
548,3609_id,16,191,56,19.0,bachelor,female
549,13698_id,24,536,248,20.0,bachelor,female
550,7455_id,21,311,78,21.0,bachelor,male
551,120_id,14,49,14,20.0,bachelor,male
552,8722_id,19,318,215,20.0,bachelor,male
553,15212_id,27,609,422,20.0,bachelor,female
554,6008_id,15,269,120,20.0,bachelor,male
555,5441_id,18,225,45,21.0,bachelor,female
556,240_id,12,86,19,21.0,bachelor,female
557,19646_id,96,2136,8312,18.0,bachelor,male
558,3368_id,17,202,63,20.0,bachelor,female
559,5818_id,18,253,123,21.0,bachelor,male
560,5221_id,18,209,48,18.0,bachelor,male
561,8132_id,21,289,127,18.0,bachelor,male
562,15095_id,34,542,389,20.0,bachelor,female
563,10372_id,19,467,222,20.0,bachelor,female
564,7614_id,20,272,96,18.0,bachelor,male
565,3156_id,12,149,34,20.0,bachelor,male
566,16952_id,37,675,581,21.0,bachelor,male
567,13492_id,22,549,302,21.0,bachelor,female
568,19592_id,75,2156,6839,21.0,bachelor,male
569,8506_id,21,284,151,18.0,bachelor,male
570,9160_id,19,396,234,21.0,bachelor,female
571,1051_id,13,51,18,20.0,bachelor,male
572,12302_id,23,369,315,20.0,bachelor,female
573,7428_id,19,261,126,18.0,bachelor,female
574,14134_id,26,486,240,20.0,bachelor,male
575,11990_id,24,470,290,19.0,bachelor,male
576,14975_id,27,496,414,21.0,bachelor,female
